Feature.ID	p.Value	rab.all	rab.win.0	rab.win.1	diff.btw	diff.win	effect	overlap
GLUCOSE1PMETAB-PWY	7.105398466680146e-13	2.5488814741692254	3.544645733349583	1.6929847458670784	-1.4104767849822264	1.2008372694848544	-1.3150590715048347	0.07778444801428833
GLUTORN-PWY	8.939432849113803e-6	3.5964124905150374	4.164218938537574	3.449763933569569	-0.6504864407755657	0.613349524444434	-0.906779539462902	0.16560000201674213
GLYCOLYSIS	1.0645130226959438e-6	3.6057532572220587	4.096882578238901	3.4352855110548837	-0.634846727160904	0.6645578146542817	-0.9140313655888982	0.14097180810851348
GLYCOLYSIS-E-D	6.87667503597317e-7	3.3805635830501046	3.90758065038231	3.215509706251098	-0.6709739458952946	0.7027628922863247	-0.9518851851019785	0.12940000274139227
GLYCOLYSIS-TCA-GLYOX-BYPASS	3.0822119230240243e-7	3.3801081660800905	3.799717808868944	3.2218219716826395	-0.5470699504079368	0.539856318835489	-0.9476014350864093	0.12737452788757056
GLYOXYLATE-BYPASS	1.5969039180155716e-7	3.037661562348336	3.628807436076947	2.898341863418843	-0.6677034453000927	0.7269067963828437	-0.9605268543408939	0.1074000034127763
HEME-BIOSYNTHESIS-II	1.9955825268921653e-7	2.890073362838682	3.5747915711846234	2.697450975162832	-0.7822232014605266	0.7588021982239281	-1.0062782128401089	0.09360000399187217
HEMESYN2-PWY	3.040034303432753e-6	3.481876544246254	3.938976595536429	3.3128238594041344	-0.5987923445270096	0.6517011970538542	-0.8780276075077336	0.16216756855791786
HISDEG-PWY	1.252051990273492e-7	2.9602209210454227	3.668212726184988	2.7794745655266135	-0.8429806749799931	0.7370555737498532	-1.0425305016522315	0.10237952769937256
HISTSYN-PWY	2.6589108365830116e-5	3.5090305363747563	3.925831505263192	3.356643839760036	-0.5118810093827775	0.5723820058755966	-0.8434562623837027	0.18080000179594577
HOMOSER-METSYN-PWY	4.229733704389739e-5	2.2830482314537273	2.0318461099153247	2.3788424334206413	0.36853714914976354	0.3703790564660556	0.9028729539343843	0.182200001777367
HSERMETANA-PWY	1.5065792253329984e-5	3.3037444624761227	3.753668089949229	3.177026155276965	-0.5446962924727208	0.6323669811345294	-0.8753458703945274	0.15900000212510315
ILEUSYN-PWY	3.383232969770002e-5	4.465450985186584	4.9423792048200035	4.3532140793876	-0.5533755869359469	0.6449683896897223	-0.8188737578313909	0.1866000017206873
LEU-DEG2-PWY	2.7279430012926372e-8	3.276494031476302	3.9313895318863823	3.0100543814036724	-0.8874117136387842	0.8225064048432671	-1.0257580008597444	0.1055788877024085
