Feature.ID	p.Value	rab.all	rab.win.Rh	rab.win.Bs	diff.btw	diff.win	effect	overlap
GLYCOL-GLYOXDEG-PWY	9.830378916699607e-4	-3.2870321726211635	-3.6228866293687654	-3.0617260579584453	0.5261984538779885	0.6198857900566344	0.7701855174368581	0.20895820982502905
GLYCOLYSIS	0.0036475223951117908	3.68971296780904	3.4980797850388243	3.827496732833143	0.34146537650806597	0.5080831541384674	0.5096071313552817	0.1830000017668711
GLYCOLYSIS-E-D	0.04815932000832859	3.4622049679817395	3.2910056070278917	3.5716997290258283	0.2930235138292683	0.522852882060834	0.40912806866123264	0.20940000146278615
GLYCOLYSIS-TCA-GLYOX-BYPASS	0.015902244964912403	3.462402166622474	3.322769902260246	3.5466777688020628	0.24877555964378972	0.46872552594997785	0.44890031412163267	0.21600000139754968
GOLPDLCAT-PWY	2.3327868774686533e-4	-3.3618122166342896	-3.79329950385765	-2.9034328711103035	0.8349888423057887	0.7967588494136066	0.9211412670706636	0.17820000183117957
HEMESYN2-PWY	0.036947894667894624	3.557935082170483	3.380298270934838	3.6559187803547797	0.2810775836134711	0.4993358109712438	0.4277701646370909	0.2091581698309887
HISTSYN-PWY	0.0163592994962617	3.583923361265638	3.4124642736642943	3.689431757465703	0.2812838508227249	0.46580943097505445	0.4997773797405012	0.19656068946296973
ILEUSYN-PWY	0.03130445410572373	4.557960671099206	4.416501423536682	4.680139475317034	0.2841370118005879	0.4470134344701995	0.4727048374191838	0.1900000016785791
KDO-NAGLIPASYN-PWY	0.02808278765088171	-0.7688075611691918	-0.5163928340668571	-0.9870198342326173	-0.5833821609922278	1.0021774129548833	-0.5551483629129471	0.2737452518978074
KETOGLUCONMET-PWY	0.00494195950855624	-0.1790357074585902	-0.0014322148008254487	-0.6238125031580637	-0.6135659383959764	0.6620187060837557	-0.7743009348388865	0.2143571299871654
LEU-DEG2-PWY	0.025963151402751922	3.374047242790354	3.1635573836261655	3.485799532557826	0.35805190707486023	0.7249386232595003	0.3980840206934434	0.2286000012825452
LIPASYN-PWY	5.75372670067274e-4	-2.317310557384843	-1.9141928296649535	-2.623405111521671	-0.7500277556678272	0.9285807544723266	-0.7575120880502816	0.19956008954915522
MET-SAM-PWY	5.598438296669356e-4	2.922141238379453	2.843114262426779	3.0232553818687444	0.17587804049243516	0.20921747923876666	0.7655858478203093	0.19900000157361927
METH-ACETATE-PWY	0.02316171270310091	-3.404529980577803	-3.7279346960404744	-3.0298026429757314	0.7037173211487726	1.3240014988548525	0.5149977246130565	0.27160000096208875
NAD-BIOSYNTHESIS-II	4.0872885440808684e-5	2.2833675653779206	2.06333206561356	2.456486544535358	0.5892811207260373	1.40826798454819	0.45289860753810995	0.23620000121852372
NONMEVIPP-PWY	0.03426742481618868	3.4842967843795725	3.331894271695405	3.578823202868371	0.2608327388040812	0.4648776192657107	0.4560133069232931	0.2077584497893464
OANTIGEN-PWY	0.005614667741149568	3.5148083170793973	3.369919661703604	3.6116090358881787	0.2370771761190782	0.36388623072972504	0.6063728981449361	0.2110000014466288
ORNARGDEG-PWY	0.012276626350420455	-2.6169697385173176	-2.1063890731510435	-2.9914420092450857	-0.9244887923909637	1.7579945078819037	-0.5160925426678586	0.27960000091184195
P101-PWY	4.400917210489105e-6	2.389163705812594	2.1105862085408393	2.6064113323368066	0.6245368779897036	1.346397621473435	0.5017517565689027	0.2384000012006691
P161-PWY	8.615101768947871e-8	1.9458746751449825	1.8037827178142667	2.1555399046747246	0.3731008381468035	0.36335815486544476	0.946572648119463	0.14040000248298953
P184-PWY	0.004920065256236998	-0.8544169550849823	-0.6167539934904145	-1.0105489265579752	-0.3598029765021611	0.534169029140477	-0.6580183441873755	0.22420000132137968
P221-PWY	1.7338230014398346e-7	2.5245418778582644	2.1833378319375676	2.788982301246434	0.8431538162867698	1.9101186374854375	0.5364423596312442	0.23655269067726314
P23-PWY	0.0016858953678051969	3.417972239681389	3.2848717385276984	3.582500379119801	0.3123146521377729	0.3339842467832792	0.8182116602544864	0.1799640090050076
P281-PWY	9.487712640763245e-7	0.44427498173274227	0.6026095853221021	0.2005460366289098	-0.4150063805107882	0.3988905097024933	-0.9744019169406963	0.15500000219507545
P4-PWY	1.1771507716186641e-4	3.2554931109453062	3.157062171447914	3.3566423593657686	0.19133780159728708	0.19489849641890267	0.9033964426231773	0.16620000200729942
P42-PWY	8.932938475676848e-7	3.1573700378439726	2.9687088473628624	3.306015837844491	0.3605450224932212	0.33398598812298186	1.008299317270634	0.13097380793970553
P621-PWY	1.6360089084827684e-8	-1.6574825220999134	-1.3649821058312943	-1.9969630747728573	-0.6591668898118543	0.6539298815319246	-0.9892963908903762	0.13157368794887075
PEPTIDOGLYCANSYN-PWY	0.007134582561624667	3.5750216514742945	3.4008822309805486	3.682615868586026	0.2872953424600162	0.4352091398157403	0.52718815120958	0.1875624892104382
PHOSLIPSYN-PWY	0.010430293935438019	3.9074260606478726	3.7361367365720337	4.008377106481265	0.2780700500986075	0.4592825226436168	0.5126892459843022	0.20820000147505377
POLYISOPRENSYN-PWY	0.028349880354323034	3.5779262245210455	3.4226214353910627	3.6663419572022375	0.2511814741514642	0.43061123931274015	0.47023876585804875	0.20640000149370036
PWY-1501	6.121582693585145e-10	-1.83202377327867	-1.5249859553443592	-2.1439652953565558	-0.6180260707857803	0.47637551359343355	-1.2356211597456719	0.09580000388852568
PWY-2941	0.001911025329655887	-0.1645098660485873	-0.5322951444388426	0.16553876627650954	0.6385622686908476	0.8043011323231379	0.741592669516114	0.22160000134497865
PWY-3661	0.011385368413486072	-0.09872648039719234	0.21650739166565725	-0.2745417024995005	-0.5391975248468688	0.8534799039703547	-0.6101086695232943	0.25660000106331055
PWY-3781	0.01576450933595457	5.136964232162297	5.010264120287863	5.224106824251292	0.22537540756244612	0.3617955942429272	0.5377246043981316	0.21080000144863625
PWY-4361	0.009173432159338461	-2.061788351191904	-2.3138520880619025	-1.7657224939830822	0.5744465736449706	0.8041149623466533	0.6509175312154566	0.24080000118151978
PWY-5022	0.009674736037214039	2.8001317971435498	2.6099533072819243	2.952097611649582	0.4003167194012702	0.8539034100513252	0.4029520802586163	0.24375125090801428
PWY-5100	0.003451409789373747	2.3257081878151125	2.2163099009022496	2.556566070194915	0.3713466891634365	0.3926663515733386	0.7927808032003991	0.18656268918297644
PWY-5101	0.033212113028572104	4.566682402082018	4.4266376386095505	4.680739723972122	0.2761048763742875	0.41944768380330233	0.4742802788334519	0.18900000169081618
PWY-5103	0.026453136945547517	4.073755802219695	3.916980703246123	4.178203343499435	0.27738950322120726	0.43561614991730035	0.4869317388184752	0.18996200927685086
PWY-5121	0.008353351592690053	3.4787135153337467	3.308538697215297	3.5772409045066444	0.28869477655647424	0.44947157213958855	0.5213208844848073	0.19500000161915396
PWY-5154	0.006438812370566344	3.632865407178825	3.459628574738581	3.761769647580394	0.3145085334465616	0.5066548956373307	0.48987334753373124	0.21240000143267415
PWY-5188	0.04416986880992087	3.631607066414569	3.488873694252562	3.721989078719012	0.23995539850825764	0.42410143508672693	0.4623079569738821	0.21975605015171798
PWY-5189	0.049094072121344916	3.5535608605354168	3.4096253950309032	3.645397947160011	0.24553132300935765	0.4313829946415666	0.4598389746821716	0.21175764990878637
PWY-5304	0.043428510090333224	0.3187472549184447	0.24498943458490707	0.4922938569007629	0.2579679423235737	0.44470263351296335	0.5356311759737221	0.2702000009711349
PWY-5384	2.0800063997863518e-4	2.494027489901499	2.2961005098795777	2.6908905640711245	0.5339944283734575	1.2508058654700402	0.4344479252691097	0.25654869132519637
PWY-5417	8.20669670589547e-6	-0.41744295012432087	-0.2163078224802799	-0.8793923058457729	-0.6347001056658241	0.500333113075035	-1.0377030364590216	0.15760000214920544
PWY-5431	8.399733096428904e-6	-0.4174248642188667	-0.21597928356418894	-0.8782226899519578	-0.6328130850496656	0.5094214823678298	-0.9999057601728907	0.16116776853445106
PWY-5484	5.4351109324247214e-5	3.522221312115422	3.332555859846161	3.657698124334673	0.33221247724404	0.4578227703700759	0.6182020217079304	0.18920000168835907
PWY-5509	0.025561437847967647	2.60222664295363	2.4096605427462823	2.7635760138679544	0.4356074179072138	0.9934284847946113	0.3930623609083477	0.2472000011320559
PWY-5659	0.0031283242403996885	3.8423697364483993	3.657477692304093	3.938318456810621	0.28741272075472724	0.44931291032154386	0.544230849776949	0.1977604494973296
PWY-5667	0.03143249945725933	3.975435564812846	3.8231617073742865	4.065733514678794	0.247591054629535	0.43681469500097236	0.46406656824192183	0.20955808984291902
PWY-5686	0.017619456146323265	3.8042835384741287	3.64473520824449	3.9006407918085966	0.2614222733594147	0.4107339452218084	0.5043597247472518	0.2073585297774812
PWY-5747	0.003363233536745966	2.1418438202199184	1.9329305928808767	2.3309702582521483	0.50967928938352	1.2698042340159565	0.3927661273232072	0.26920000097764457
PWY-5838	0.0016173485316666107	1.4007917282859808	1.3270376722936925	1.578940702009266	0.25049739592264597	0.3209741399794446	0.7476591667538939	0.21315736995091933
PWY-5840	9.105038541784874e-4	1.3193527961714082	1.2411886857781864	1.5061970764143346	0.2629238717136744	0.31847218058960713	0.7720840440594182	0.20580000149998248
PWY-5861	0.008333724727475867	0.9287914303314828	0.8539862241120266	1.1170168965201217	0.269752360364949	0.3545267186031893	0.6917311604960181	0.2331533705693793
PWY-5897	0.006434413012188934	1.2767293255793017	1.2068017575757501	1.4534486743129156	0.2496484967721937	0.3376983115392802	0.6726257117805129	0.23415317060103488
PWY-5898	0.006512358371255163	1.2763788061440806	1.2070922534384474	1.4539161485384717	0.24195649730491198	0.33491727546425754	0.6623857424860515	0.2420000011720705
PWY-5899	0.00641022669718049	1.276808687207983	1.2068114788263529	1.4531911317925097	0.2391301522902447	0.33834546188571224	0.6505874596303788	0.2384000012006691
PWY-5920	3.6319841006645845e-4	2.661326212841577	2.5717383342462865	2.814579248890432	0.2459457482119909	0.2526929912929292	0.8821424261068898	0.1766000018533488
PWY-6071	6.309111506581694e-9	-0.0023396092920036082	0.17839878177818402	-0.21948673143351183	-0.3966040871545946	0.2683394734315492	-1.3945489760998049	0.05378924945457385
PWY-6107	3.020842578609438e-4	-1.5847879993989897	-1.3649405528148613	-1.786900081294588	-0.4558667603580906	0.6785134543566738	-0.6325291678330309	0.22440000131958487
PWY-6121	0.04931454671926038	3.727812740930866	3.584431211939816	3.8184382035188444	0.23695738021235568	0.41676146556456306	0.4649005739658615	0.22460000131779284
PWY-6122	0.030195523529825005	3.747683548949788	3.5994853404773255	3.8391404633658723	0.2452479255884894	0.42218840122717083	0.4820915493925548	0.21760000138227922
PWY-6123	0.01817654473476116	3.55479282871011	3.3928170706119505	3.6523416783418954	0.2767771800414911	0.44030279187423504	0.5207837189794662	0.1977604494973296
PWY-6125	0.01402107784095825	3.736729135598802	3.5711209989884565	3.8383327697089853	0.2816175023844685	0.43014895050389024	0.5005665455538835	0.19756048949159255
PWY-6126	0.01848591074647472	3.8378241774766644	3.6753103250012242	3.936606156770327	0.2737608517399366	0.45914370463850673	0.47515697454495787	0.20000000156249992
PWY-6151	0.02338393706025444	2.8330703299728963	2.6888386644718594	2.9757971022217387	0.3504065610678717	0.6668119210465333	0.38953720333883135	0.2360000012201613
PWY-6163	0.035433009180151395	3.63027763451252	3.4746142443364167	3.7246402708036674	0.25268365124088055	0.49617253701762953	0.4503356154389171	0.2093581298369522
PWY-6182	1.2796038068373451e-5	-0.30808454003188235	-0.10649117312379541	-0.7578415156095115	-0.6226561178603065	0.47940689675755976	-1.0339224820046615	0.16216756855791786
PWY-6185	6.518304544258889e-8	-0.7023135321863387	-0.4764048358846491	-1.3037265397565463	-0.8038881056665961	0.6524393454297464	-0.9878728593295742	0.17440000188446006
PWY-621	2.553218084092366e-4	2.4943728456057794	2.2957740437898746	2.6907809403236094	0.5438963350608024	1.2737714131828444	0.4455435969883374	0.25994801143736534
PWY-6269	0.02482440157478895	2.615465221163312	2.4242299528151676	2.777322389502034	0.4110224558821862	0.9489944258490679	0.3899624371253095	0.2548000010761356
PWY-6277	0.030217323003222538	3.747724855634549	3.5998559574339035	3.8386911130166617	0.24513716973365485	0.4181270436143043	0.4925446120684065	0.2143571299871654
PWY-6338	0.011864663428410768	-1.6985650688932896	-1.440891504322594	-1.8707893808170528	-0.37113178517735346	0.5819285693430691	-0.5970775655579804	0.2593481314175321
PWY-6353	0.020618377678240332	3.4681752212290853	3.3165473077500196	3.581892978784299	0.27573106435944794	0.44961488810584527	0.4309410465734274	0.21120000144462484
PWY-6385	0.011569362594194334	3.4950562343247813	3.3256920403585384	3.604156836685357	0.28152920526495473	0.460177752480873	0.4908508844986175	0.19320000164021628
PWY-6386	0.011086507215558294	3.4889518022513935	3.3187626798402605	3.6004554594306786	0.2839330001831817	0.4327619746312248	0.5207725463040969	0.19536092942876537
PWY-6387	0.006885788990285955	3.5803679088100897	3.405092489265987	3.6883957282679214	0.2843901732044549	0.4340723165135585	0.5241449303850656	0.1925614893495764
PWY-6507	0.0010585535884181927	1.8009240276334166	1.9052700263640938	1.5824086348283677	-0.3288661560007604	0.3666858318252677	-0.8240736439884984	0.19600000160760794
PWY-6590	0.008155622082994153	-0.44315370806804744	-0.6989604361559394	-0.20893807715703883	0.44925675350652927	0.6182403565985242	0.6781617970792827	0.2243551302936646
