Feature.ID	p.Value	rab.all	rab.win.0	rab.win.1	diff.btw	diff.win	effect	overlap
GLYCOLYSIS	7.966664857067024e-5	3.561025764173515	3.7035354674270162	3.471644138071056	-0.21366255261713807	0.3170235124857852	-0.6476330367996064	0.24900000111854448
GLYCOLYSIS-E-D	4.007548740540686e-4	3.3366460732597854	3.456700226834288	3.25232562820871	-0.2077205136946576	0.2838795070517839	-0.6753081527395213	0.2315536905188641
GLYCOLYSIS-TCA-GLYOX-BYPASS	0.0022576671591290993	3.3588600370319095	3.4450854256040064	3.2593689105762182	-0.17976901707887816	0.2534129161455989	-0.6501473860276316	0.23520000122673698
GLYOXYLATE-BYPASS	2.2323247216044658e-4	3.0526557854131444	3.15335884934034	2.934089768230379	-0.2216119960938978	0.25263650152433215	-0.8095632929267519	0.19220000165207657
HEME-BIOSYNTHESIS-II	0.0025053781019488634	2.874578734818252	2.9559020382458163	2.7337323865414067	-0.2114866148941621	0.26473061262407516	-0.7473717436782316	0.21240000143267415
HEMESYN2-PWY	0.04023626647956414	3.4376067971621076	3.5293866602542656	3.351708741088468	-0.15785261504956605	0.27889938681268234	-0.5339515338639265	0.27540000093792083
HISDEG-PWY	1.5963622529100056e-5	2.9027348106457396	3.0501199165488977	2.8145343183153795	-0.24590989950816322	0.3294940624298537	-0.7172631768739536	0.21340000142280896
ILEUSYN-PWY	0.025955341244627644	4.458138774571125	4.563565876465288	4.389652482831843	-0.16531671429304984	0.2719351162228021	-0.5660299163770162	0.27420000094549296
LEU-DEG2-PWY	1.1181694719396035e-6	3.23337192954217	3.3729255368373314	3.048513286172038	-0.31672352310459395	0.3565930417263736	-0.8334226344063598	0.18256348907441827
NAD-BIOSYNTHESIS-II	4.1959123782723416e-11	2.111155057398217	2.317254907785025	1.2301931331802205	-0.8383713156100283	0.8000296757606504	-1.006486587494155	0.1619676085532086
P101-PWY	3.0471218589161502e-12	2.2373775812602545	2.4412240932927496	1.433396614801917	-0.8668663155601246	0.7741741068624926	-1.0192192269715838	0.160767848525119
P105-PWY	0.004263061030353681	3.7126816076113087	3.8127366256470236	3.6238510286028296	-0.1752795446609241	0.2456489241592421	-0.6666396038856468	0.2306000012653328
P221-PWY	7.018875502425455e-12	2.305886668932593	2.5616213127609067	0.9873343495804603	-1.38278302735523	1.2465661072422005	-0.985477659217874	0.1584000021353826
P281-PWY	0.018099848225004427	0.4400579432067513	0.33183123184161456	0.5304122656014263	0.23433977975566567	0.5040642545458258	0.45546387584843817	0.30940000074335233
P381-PWY	2.1919998034062912e-4	0.8496209327280031	1.0464622648542798	0.7255339625518449	-0.3527986085438197	0.3163779413689829	-1.0701563750084708	0.12337532783577278
P621-PWY	9.19203784196427e-5	-1.5621858480057256	-1.7238479201381782	-1.246283238732449	0.6000786930552486	0.8326032392058478	0.6040355126134731	0.28394321224291325
PWY-1361	0.009536173653820245	-1.9631151714519826	-1.832794676566678	-2.390765340044638	-0.7209444005914447	1.214543912916449	-0.5137632583802354	0.29900000079914496
PWY-5022	7.629954419104652e-10	2.6721552183333603	2.8594280545563615	2.420750567508276	-0.40752602224821555	0.43809593259003865	-0.8924916035096921	0.17160000192514968
PWY-5154	2.7040515599627843e-4	3.5033658319783387	3.6315461178314483	3.4229623907703792	-0.21734181684766085	0.3066877897866118	-0.6673463574494031	0.23180000125513317
PWY-5180	0.013838783325396798	1.0167030636572996	0.9477139386762872	1.1759733269715893	0.22588502379958975	0.21557724554177682	0.9547695185369109	0.15340000222404526
PWY-5182	0.013147585316361796	1.0165644725215595	0.9471176495554987	1.1759315156840708	0.22422073913833263	0.2111508091664449	0.9442882483472774	0.15640000217019415
PWY-5384	1.9205521213184594e-12	2.3214310065653887	2.5349965356573376	1.5959834985539292	-0.7397670540250205	0.665017168702323	-1.0484746303381467	0.14560000237404974
PWY-5392	0.004179521712008563	-1.46814691428244	-1.364356416742858	-1.8427607836262894	-0.5406104035499659	0.8464713687229004	-0.6171546504050254	0.2707458517970458
PWY-5484	1.801109774830441e-5	3.3936918834937146	3.5434843613686873	3.282257796879235	-0.2292048066471657	0.3156065174597975	-0.7085735134509742	0.22740000129300256
PWY-5505	1.5398578675674748e-5	2.6599310521336283	2.778172160693514	2.3727190793981556	-0.3628458345286454	0.42111067928387147	-0.8743231163864352	0.1883623292324975
PWY-5509	1.5022677114803882e-10	2.458225982882718	2.6652969919885594	2.0551575910846127	-0.4625331433679918	0.4670542266125324	-0.992984609588084	0.15536892840235855
PWY-5529	0.0353059999091014	-2.5460864152164158	-2.9176126853288604	-2.425704234475586	0.5741485622004365	0.8534371504430895	0.662591173219051	0.20740000148330429
PWY-5531	0.0011811121490715813	-2.005883346564726	-2.345880073082845	-1.7923705682410285	0.5819609765153757	0.6138569935805522	0.9125266204578371	0.15480000219866488
PWY-5676	0.0019698946231616536	0.8077880218097349	0.7019466438517874	1.0969987932250849	0.3589601379096221	0.34090030271043137	0.9741149895610084	0.15920000212169294
